,lamb=1,lamb=2,lamb=3,lamb=4
0,74.3821132363585,87.1429343562380,91.4285714957309,93.5714285714886
1,74.3879389439029,87.1429454088168,91.4285715114656,93.5714285715085
2,74.3940764073888,87.1429579946066,91.4285715308321,93.5714285715351
3,74.4005379463815,87.1429723166185,91.4285715546527,93.5714285715703
4,74.4073358338212,87.1429886027686,91.4285715839308,93.5714285716171
5,74.4144822078873,87.1430071085103,91.4285716198898,93.5714285716792
6,74.4219889699092,87.1430281196477,91.4285716640190,93.5714285717617
7,74.4298676666446,87.1430519553154,91.4285717181293,93.5714285718709
8,74.4381293550648,87.1430789711025,91.4285717844191,93.5714285720156
9,74.4467844475850,87.1431095622831,91.4285718655527,93.5714285722069
10,74.4558425354643,87.1431441671022,91.4285719647539,93.5714285724598
11,74.4653121878532,87.1431832700431,91.4285720859154,93.5714285727937
12,74.4752007237068,87.1432274049778,91.4285722337285,93.5714285732340
13,74.4855139534880,87.1432771580679,91.4285724138334,93.5714285738138
14,74.4962558872662,87.1433331702423,91.4285726329940,93.5714285745764
15,74.5074284054647,87.1433961390292,91.4285728992991,93.5714285755780
16,74.5190308881255,87.1434668194517,91.4285732223920,93.5714285768915
17,74.5310597981332,87.1435460236232,91.4285736137281,93.5714285786111
18,74.5435082133776,87.1436346185761,91.4285740868618,93.5714285808582
19,74.5563653023199,87.1437335217442,91.4285746577589,93.5714285837889
20,74.5696157368690,87.1438436933673,91.4285753451270,93.5714285876028
21,74.5832390358563,87.1439661249125,91.4285761707551,93.5714285925544
22,74.5972088317255,87.1441018223846,91.4285771598398,93.5714285989659
23,74.6114920523081,87.1442517831340,91.4285783412729,93.5714286072436
24,74.6260480087492,87.1444169644467,91.4285797478422,93.5714286178955
25,74.6408273797518,87.1445982418055,91.4285814162847,93.5714286315521
26,74.6557710813361,87.1447963542368,91.4285833870973,93.5714286489881
27,74.6708090102392,87.1450118335778,91.4285857039762,93.5714286711428
28,74.6858586479069,87.1452449137988,91.4285884127009,93.5714286991385
29,74.7008235107501,87.1454954156720,91.4285915592122,93.5714287342875
30,74.7155914309254,87.1457626010558,91.4285951865345,93.5714287780826
31,74.7300326503672,87.1460449898332,91.4285993300701,93.5714288321532
32,74.7439977091054,87.1463401310626,91.4286040106220,93.5714288981663
33,74.7573151070633,87.1466443181127,91.4286092242749,93.5714289776375
34,74.7697887165044,87.1469522354080,91.4286149279666,93.5714290715978
35,74.7811949200902,87.1472565218350,91.4286210191823,93.5714291800383
36,74.7912794470903,87.1475472327613,91.4286273076807,93.5714293010141
37,74.7997538776375,87.1478111789074,91.4286334764641,93.5714294292323
38,74.8062917820283,87.1480311158578,91.4286390282944,93.5714295538670
39,74.8105244589000,87.1481847526618,91.4286432128505,93.5714296552265
40,74.8120362326547,87.1482435415870,91.4286449280491,93.5714296997235
41,74.8103592667099,87.1481712034404,91.4286425869778,93.5714296323560
42,74.8049678450209,87.1479219337305,91.4286339391817,93.5714293655498
43,74.7952720697888,87.1474382240093,91.4286158315029,93.5714287627103
44,74.7806109183252,87.1466482196727,91.4285838890436,93.5714276141068
45,74.7602445966364,87.1454625199014,91.4285320907863,93.5714256016834
46,74.7333461213824,87.1437703068037,91.4284522065387,93.5714222479269
47,74.6989920554130,87.1414346686101,91.4283330516232,93.5714168418408
48,74.6561523150284,87.1382869552773,91.4281595024038,93.5714083321268
49,74.6036789594100,87.1341199732764,91.4279111984224,93.5713951734960
50,74.5402938642542,87.1286797887111,91.4275608344149,93.5713751061283
51,74.4645751724501,87.1216558630816,91.4270719162856,93.5713448399534
52,74.3749424046092,87.1126691926345,91.4263958172540,93.5712996036571
53,74.2696401012975,87.1012580587061,91.4254679213261,93.5712325017259
54,74.1467198568566,87.0868609208645,91.4242025777013,93.5711335994852
55,74.0040205916434,87.0687958947296,91.4224865074874,93.5709886232283
56,73.8391468952580,87.0462361494183,91.4201701977249,93.5707771163545
57,73.6494452577742,87.0181804324382,91.4170566802062,93.5704698275855
58,73.4319779890012,86.9834177787858,91.4128869148982,93.5700250163393
59,73.1834946072785,86.9404852815181,91.4073207683230,93.5693832327539
60,72.9004004590799,86.8876175878878,91.3999122810822,93.5684599510953
61,72.5787223086443,86.8226865319946,91.3900775365995,93.5671351849774
62,72.2140706127793,86.7431290144015,91.3770529503998,93.5652388625730
63,71.8015981697252,86.6458608825211,91.3598411640594,93.5625302501721
64,71.3359548023291,86.5271741424086,91.3371409095397,93.5586690278422
65,70.8112377045357,86.3826143306097,91.3072561555000,93.5531746646215
66,70.2209370461338,86.2068342793700,91.2679784900267,93.5453694054828
67,69.5578763935423,85.9934198025991,91.2164349475280,93.5342983190865
68,68.8141474639054,85.7346819931509,91.1488912403344,93.5186172565116
69,67.9810386855906,85.4214098301618,91.0604974653511,93.4964359479618
70,67.0489569900197,85.0425756199025,90.9449596402085,93.4650984153350
71,66.0073422072544,84.5849844011995,90.7941156473316,93.4208758453191
72,64.8445733805213,84.0328567971673,90.5973880276646,93.3585372746085
73,63.5478662524636,83.3673328417275,90.3410781831036,93.2707498082652
74,62.1031611079041,82.5658819965901,90.0074564241529,93.1472411275112
75,60.4950000837820,81.6016018363195,89.5735893040572,92.9736306663695
76,58.7063929761533,80.4423846382080,89.0098290018728,92.7297991633505
77,56.7186704861159,79.0499272781850,88.2778681160699,92.3876153225993
78,54.5113237506076,77.3785552956040,87.3282357772707,91.9077674965451
79,52.0618288995091,75.3738266204757,86.0970757806599,91.2353499290357
80,49.3454552666211,72.9708741054552,84.5020022953993,90.2937164977271
81,46.3350557580263,70.0924384931802,82.4367708397093,88.9759252673231
82,43.0008377462076,66.6465345666765,79.7644280454273,87.1328340003849
83,39.3101127110755,62.5236827277484,76.3085087061509,84.5565416509228
84,35.2270226887068,57.5936258318738,71.8417268640664,80.9573644203396
85,30.7122414139353,51.7014364315141,66.0714517669539,75.9318326631734
86,25.7226478527148,44.6629022338211,58.6210598589624,68.9182212960630
87,20.2109696130026,36.2590570807005,49.0059983332479,59.1347768725072
88,14.1253934973093,26.2297005393965,36.6030685446983,45.4939344776280
89,7.40914021438480,14.2657205780413,20.6110187818818,26.4832268827375
