,predictions
0,61.2683506438
1,61.348994567
2,60.7010338226
3,60.789053677
4,61.5181232488
5,61.6193738825
6,61.5152399207
7,61.4103204179
8,62.584458763
9,60.9243618576
10,61.8055038063
11,60.6512880902
12,60.662265171
13,60.2452314943
14,60.6563030548
15,61.4998620788
16,61.5388884726
17,62.5575506498
18,61.5227564599
19,60.3161658705
20,60.6020344447
21,59.5910221747
22,60.6374023896
23,62.6671506554
24,60.9495697127
25,61.0670016568
26,58.8474325323
27,61.5977423796
28,61.6266213315
29,61.5106577638
30,62.2238927073
31,61.5951418473
32,61.9379694041
33,61.0420050066
34,61.3184719652
35,61.0261444911
36,61.2335155974
37,61.4507206491
38,61.5021378079
39,62.0328973507
40,61.6129603893
41,61.7351966214
42,60.8602811914
43,60.6773985749
44,60.89682592
45,60.5817966949
46,61.5125635067
47,61.2639056334
48,61.0581285778
49,61.1491317019
50,59.8932121462
51,61.4809511609
52,60.9391109646
53,61.8481231583
54,60.5410208644
55,60.8097942813
56,60.6371392925
57,61.3130674755
58,60.8431007588
59,61.5988422771
60,61.3273339302
61,61.5657540721
62,61.0845697802
63,61.4789975421
64,61.5383066639
65,61.8262698883
66,61.6283149875
67,61.3155010645
68,62.4929192036
69,62.1088547027
70,61.347254858
71,61.9092159174
72,62.5405988871
73,60.9390956734
74,61.5231267029
75,61.4878940388
76,61.1946121433
77,60.8853458844
78,60.6082717038
79,60.8688554099
80,60.8933661228
81,60.7327317302
82,60.2377343482
83,61.2094840309
84,62.0276350583
85,61.9880922931
86,61.1487140806
87,60.3347007941
88,61.3172613337
89,60.8987401575
90,60.3902045699
91,61.0713463525
92,59.8809834767
93,61.6165400527
94,60.8393165176
95,60.0436096857
96,59.9441162267
97,60.0615234053
98,60.8410937241
99,60.1359774398
100,60.8333905914
101,60.8253810804
102,60.693150377
103,60.9043096399
104,60.5737498869
105,61.1116193997
106,60.3492342976
107,60.8933661228
108,61.0681230633
109,60.7183569926
110,62.1217417492
111,62.2831755063
112,61.8801527479
113,62.1434841508
114,62.2025899008
115,60.9836515359
116,61.8664142775
117,63.0459341455
118,62.2042207357
119,62.3649910738
120,61.774042931
121,61.5457807428
122,60.9472346641
123,60.8057063811
124,60.7530340966
125,62.2533231197
126,62.7079527204
127,62.597605999
128,62.8036121069
129,62.6792029855
130,62.0593629672
131,62.0354486406
132,60.7701362623
133,62.5572674337
134,61.74206072
135,61.2436820732
136,60.698963784
137,61.1191669629
138,62.3952085794
139,62.0094471115
140,61.4719280373
141,62.1810172052
142,60.9056291643
143,61.8072499077
144,62.6748323436
145,62.1282513299
146,61.207801881
147,61.7869470757
148,61.0236931334
149,62.2649499661
150,62.9517506445
151,62.7613201169
152,63.5192516418
153,63.6117283092
154,61.3233503509
155,62.5118529047
156,63.2256904752
157,64.1439723951
158,62.343987228
159,61.4337332647
160,62.5812392201
161,62.4871983278
162,61.3964120492
163,61.954654097
164,63.0173663893
165,62.9760761998
166,62.4709420239
167,62.0964133303
168,61.8705782316
169,61.8066013553
170,61.7436359833
