,predictions
0,95.4703174416
1,95.5816951549
2,96.0005488482
3,96.1715696213
4,95.4246983326
5,95.8191190283
6,95.3369726302
7,95.8533698133
8,96.2632790652
9,96.3818493908
10,97.3313581811
11,97.1373052159
12,96.8461827106
13,97.8117618741
14,98.0059540328
15,97.185898099
16,96.3971187181
17,95.3346016008
18,94.2214887476
19,95.0998698799
20,94.8794952556
21,96.4630633395
22,97.6901415059
23,97.7211536873
24,98.2794211488
25,97.6435518431
26,97.7571869784
27,97.7088376285
28,98.3121687702
29,99.3702697706
30,99.1227850056
31,98.0047673991
32,97.3209534335
33,98.1464616922
34,98.3984212804
35,98.4582797857
36,97.7501840006
37,97.6358641919
38,97.4594350431
39,97.4430640041
40,97.2405950506
41,96.0802162044
42,96.4759605476
43,96.8758994048
44,97.3305397633
45,97.9701199105
46,97.6384581668
47,96.9652258362
48,96.8296597804
49,96.7438589492
50,97.4518221973
51,97.9164317184
52,97.8172882679
53,97.9031289732
54,98.1207342639
55,98.8644302873
56,99.0484892542
57,99.167352851
58,99.4734963404
59,99.3831589136
60,99.8219389755
61,100.213944834
62,100.62569821
63,100.610635212
64,100.237083657
65,100.686923508
66,100.382926997
67,100.814769244
68,100.633029804
69,100.843504062
70,100.850780283
71,100.062254621
72,99.7552532917
73,99.7764764709
74,99.3503336326
75,99.4267867311
76,99.5019851025
77,99.1513989918
78,99.144355595
79,98.6613237736
80,98.397902013
81,98.5256125452
82,99.5589901163
83,99.2873941096
84,98.5492416295
85,97.6845994863
86,97.9095381366
87,97.9296732226
88,96.6353510205
89,95.7383138804
90,95.8288108663
91,95.7780745539
92,95.0098442267
93,93.9973119335
94,92.8538259916
95,92.55207514
96,93.3026335354
97,94.1170927427
98,94.1859649578
99,93.8880782071
100,94.0410693399
101,94.7784950481
102,95.704149484
103,95.5492657864
104,96.2720612833
105,97.1520694417
106,98.5236470832
107,98.397902013
108,98.1390142022
109,97.9858400469
110,97.4178107764
111,98.0206194448
112,99.0440583669
113,101.412092736
114,102.108413853
115,103.815858023
116,109.931078955
117,117.534679782
118,116.245038379
119,117.554086067
120,120.039033611
121,121.579830101
122,121.158371738
123,119.156421976
124,116.084055164
125,112.709544306
126,109.819386523
127,107.792744062
