,predictions
0,28.2576862057
1,28.0250387211
2,27.8629775936
3,27.5498102202
4,27.5162250192
5,27.5605591176
6,28.995714405
7,28.4487145214
8,29.1302315649
9,30.0834176617
10,30.6091365539
11,30.091267154
12,29.1558191224
13,29.4260475641
14,29.8395330052
15,29.4749663623
16,30.3743129648
17,28.0543898182
18,28.4457332376
19,27.997527022
20,27.6845165723
21,28.9651341329
22,29.3071793077
23,28.4422965261
24,28.3107822335
25,27.6250333478
26,27.8871023933
27,28.3471297963
28,28.2531791856
29,28.506093693
30,28.330268918
31,29.3478803884
32,29.0063785835
33,29.169388141
34,29.841981703
35,29.6151462428
36,28.8256852796
37,29.1368184306
38,28.2996698266
39,28.7822972355
40,29.5531137081
41,28.7035514139
42,29.1367061337
43,29.357142512
44,28.5393848275
45,29.3001246892
46,28.8422401613
47,29.1733113815
48,29.6128279416
49,30.132348906
50,29.531112562
51,27.7010676294
52,26.8258605686
53,26.8083533743
54,26.8950668542
55,27.150139049
56,27.7616045297
57,28.7754472554
58,29.5177309364
59,29.5137485908
60,29.9814371238
61,29.1196890971
62,28.5630904013
63,27.1556368691
64,27.0454986639
65,28.3145274463
66,27.0741336167
67,27.2686864054
68,27.184200395
69,28.4796894722
70,28.2015218359
71,28.0687628888
72,28.6003496015
73,29.4653268928
74,28.2098461672
75,29.1799505946
76,28.576804456
77,28.5501029917
78,28.1534947638
79,27.7212769132
80,26.5840069899
81,26.5638754352
82,28.2434620601
83,27.3830858106
84,26.9042321248
85,25.9751334713
86,25.8146235265
87,26.0113335861
88,25.5424355733
89,25.7691589731
90,25.9849093554
91,27.9565702986
92,27.0129572261
93,26.9434687638
94,26.3672547575
95,26.4143279974
96,26.8744144561
97,27.1060378564
98,26.7162276211
99,26.773353597
100,26.5665005087
101,26.5430057806
102,27.2890406814
103,27.7953921518
104,28.7395479071
105,27.3936147817
106,27.0782606325
107,26.7737605202
108,26.4542828856
109,27.1396458017
110,27.3909910391
111,28.6663247547
112,27.9844108719
113,27.797550904
114,28.4171482174
115,28.0558119941
116,28.3712873824
117,28.1467960568
118,27.8573072231
119,26.9563581686
120,26.8195759495
121,26.5333256594
122,27.1968526861
123,27.576044115
124,27.8122402316
125,28.2519772268
126,28.9766152723
127,28.8803760605
128,28.7343472569
129,28.468903407
130,28.1710144258
131,29.482196742
132,29.5925312397
133,29.5712465879
134,29.8522732782
135,30.2180484443
136,30.6574549821
137,30.6993804891
138,28.7507786981
139,30.2261528893
140,29.276886024
141,28.3516864359
142,29.5471586645
143,29.1629820644
144,28.9134911041
145,28.9248319156
146,29.3549889072
147,30.5853547669
148,28.1010517808
149,27.4754151735
150,27.470866959
151,27.8890111478
152,28.6325006503
153,28.821267958
154,28.3481489938
155,28.0865464729
156,29.1005617731
157,28.7255218495
158,27.8980123298
159,26.311269593
160,27.8936504002
161,25.5455014827
162,26.1479183564
163,27.4740207515
164,28.8515903086
165,27.8572095712
166,28.4218763704
167,28.5459039436
168,28.5371691295
169,27.8638391908
170,28.508502134
171,28.5526560237
172,29.0321982684
173,29.2929546144
174,29.7379316471
175,29.6900273048
176,28.9539747064
177,27.2105587971
178,27.1817652626
179,26.8147407261
180,27.4560211772
181,28.070132842
182,27.7383726197
183,28.2018081442
184,28.7141195357
185,28.9132545498
186,27.3872924837
187,25.9972201853
188,26.9382155104
189,27.8985741133
190,27.62758092
191,28.2827848899
192,28.94205631
193,29.2917303435
194,29.4094224544
195,28.3166299131
196,28.9546968676
197,28.4318597547
198,27.9161090667
199,28.4687875145
200,28.4117479493
201,28.9829830071
202,27.9682896059
203,28.3711130403
204,28.8791973032
205,28.0822911427
206,27.6791651268
207,27.2083650666
208,26.9526560666
209,27.0488152655
210,28.421157078
211,29.1623104263
212,29.0358335415
213,27.7919211852
214,26.6723712167
215,26.3439170585
216,26.399448645
217,26.1012055494
218,26.5004919016
219,26.8911222202
220,26.6965588195
221,26.613825842
222,26.5504979106
223,26.7725182746
224,26.9053009209
225,26.749829462
226,26.9104983259
227,26.9432933147
228,26.6046340324
229,26.8210499395
230,26.5746195134
231,26.9896706427
232,26.5580785199
233,26.9354988576
234,27.0942093541
235,27.219622585
236,27.4112496323
237,27.4580968647
238,27.0407771594
239,27.7636812707
240,27.6807033942
241,28.1512849715
242,28.0547301883
243,27.9873376184
244,28.8843636795
245,28.8216181752
246,27.7964175108
247,27.4869646348
248,27.6483713337
249,27.5821662563
250,26.9306425346
251,27.5330985708
252,28.2194396304
253,27.7874980285
254,27.7770207542
255,27.3923100097
256,27.3161755839
257,27.5568981748
258,27.947927364
259,27.5282992057
260,27.8385231096
261,27.6574887054
262,27.7202728567
263,27.944034943
264,28.4647862457
265,27.5821546822
266,28.0486950298
267,27.9135187571
268,29.0469728759
269,28.0900323885
270,27.5993096501
271,27.9605975911
272,28.0928436316
273,27.8859704902
274,28.2475073708
275,27.6309383042
276,27.6965349298
277,27.9642398167
278,28.0902385917
279,28.1622095833
280,28.5075389147
281,28.0573363562
282,28.8245775492
283,29.4836946885
284,29.6773596122
285,27.9758252026
286,27.7218415363
287,27.5028383588
288,27.8420109621
289,27.9058669417
290,27.5484491895
291,27.4644259545
292,27.5381831355
293,28.3131512154
294,28.3065827337
295,27.4473495429
296,27.4247747626
297,27.3674531734
298,26.9223487107
299,27.292893824
300,27.6944694948
301,28.9226262817
302,28.7875675093
303,28.4507647141
304,27.8752987315
305,28.4154498665
306,29.0893268036
307,29.6639412813
308,28.6229158164
309,28.9187743772
310,29.0961033261
311,29.8342633637
312,29.3719871492
313,28.974472613
314,29.0635311639
315,28.5952821224
316,28.9548405841
317,29.3767542715
318,28.9977493498
319,29.2710765432
320,28.3962947968
321,29.0707887334
322,28.1192293653
323,29.376555533
324,29.0580126078
325,27.5868795166
326,27.6065214303
327,28.2798382154
328,28.0674374056
329,27.3992944866
330,27.7072834976
331,28.0656251877
332,27.6086856359
333,27.8148817748
334,27.0106418614
335,27.4043865396
336,27.650628978
337,28.5368428783
338,28.2572391998
339,27.8802459773
340,28.2748371305
341,28.7289646512
342,29.3460472266
343,29.3766909393
344,28.9443121515
345,28.2304347443
346,28.1252457964
347,28.0781884116
348,29.0008032794
349,29.8536766672
350,29.4969202437
351,29.0956151959
352,28.4536533289
353,28.6079909851
354,28.6333911746
355,28.3159399531
356,28.1269786919
357,27.5982258235
358,27.8795466733
359,27.2411844901
360,27.2933116096
361,27.1309361095
362,26.3388434501
363,26.3155702477
364,26.6639095507
365,27.5909808249
366,28.5753823424
367,28.7437090563
368,29.3480308987
369,28.8626014458
370,28.0276463048
371,29.3093203365
372,30.11894186
373,30.0847973613
374,29.3165536467
375,28.9344007763
376,29.5463633766
377,29.5877184653
378,27.8949369084
379,28.4044101271
380,28.1466550574
381,29.8064140113
382,29.4427464055
383,29.5192511242
384,28.6509612946
385,28.8219311403
386,28.8254803222
387,26.3824321753
388,26.0884772739
389,26.0776216721
390,26.2477814904
391,26.8246309023
392,26.8869304867
393,26.4596252347
394,26.7377566517
395,26.5247972296
396,26.7766900666
397,26.4808831006
398,27.465083758
399,27.7115904494
400,27.2643932287
401,26.7206157564
402,27.2953410913
403,26.6454044652
404,26.1285095444
405,26.7828661886
406,25.9862677359
407,25.5064211008
408,25.7308715529
409,26.0304441881
410,26.0938737809
411,25.6832081015
412,25.8860135739
413,25.5987821778
414,25.8825337576
415,25.6368771656
416,25.9236230535
417,25.8582963143
418,25.9528271553
419,25.8802254799
420,26.2084099133
421,26.0054363908
422,27.4261829548
423,27.5108783024
424,27.9884390201
425,28.4359845971
426,28.935356022
427,29.4129732619
428,28.620403031
429,27.3764477609
430,27.4641482057
431,27.903526614
432,27.7077600402
433,27.6636001157
434,26.5550216903
435,26.2229798216
436,26.4551482809
437,26.4583357563
438,25.9969089215
439,26.0474307618
440,26.405270388
441,26.0798404521
442,26.4357661763
443,26.2336836204
444,26.5138174851
445,27.0315180701
446,26.8133138141
447,26.5539406572
448,26.7596102229
449,26.4835101121
450,26.8972390223
451,26.4616433713
452,26.6717341919
453,26.731612366
454,26.9425309788
455,26.8315363405
456,26.9978645871
457,27.7458477032
458,27.5875345683
459,26.8763931276
460,27.5596335391
461,27.5803302049
462,28.2362666755
463,28.7507940022
464,28.0411373527
465,28.6133418605
466,27.607141453
467,27.1064083734
468,26.5234308917
469,26.372503965
470,26.6585837938
471,26.2969345998
472,26.5894187159
473,25.5042680249
474,26.0688151955
475,26.7855665838
476,26.124478742
477,26.1531423948
478,25.9441554361
479,26.2677016933
480,26.5105912316
481,26.2979764334
482,26.6341029201
483,26.4961996153
484,26.1871636488
485,26.7981781815
486,26.0498740361
487,26.5760064544
488,26.0952423879
489,26.7007946112
490,26.9372970598
491,27.3117397562
492,26.5628752992
493,26.7912822666
494,26.3048795623
495,25.8046592823
496,25.8573761251
497,25.8353873228
498,26.6552563005
499,26.0807023403
500,25.754767774
501,25.9536594199
502,25.9108700438
503,26.1961707935
504,26.3569719302
505,26.7862184304
506,27.2570960853
507,27.0127113809
508,26.9742239222
509,26.8113697911
510,27.0722031918
511,27.1971986301
512,26.535026996
513,25.85096797
514,27.4789264859
515,25.4541147325
516,25.533610952
517,25.6928901398
518,25.1546073256
519,25.5124174338
520,25.7437827475
521,25.4494677706
522,25.4379538557
523,25.7803843336
524,25.7776537924
525,25.5265580929
526,25.8403873002
527,25.9171175969
528,25.9516579109
529,26.2926257811
530,26.6737700315
531,27.3135656398
532,27.2886991327
533,25.5989867607
534,25.6739489638
535,25.8031992019
536,26.3414039992
537,25.9357560826
538,26.2337343969
539,25.9107027893
540,25.6813924877
541,26.0406695684
542,26.2381531808
543,26.0997005566
544,25.8954287601
545,26.1145779207
546,26.365818228
547,26.4803279195
548,26.0352612146
549,26.3530090927
550,26.3915954346
551,26.9187613364
552,26.8771126736
553,26.179556104
554,26.6837188555
555,27.3913568927
556,26.2851240413
557,26.9718314951
558,26.0415697637
559,26.8109564963
560,26.9679543882
561,26.4143591721
562,26.0296063936
563,26.0479098409
564,25.7926548527
565,25.8361925128
566,26.1443775843
567,26.994789497
568,27.6567496697
569,27.400014127
570,27.4325899917
571,27.2896498263
572,26.5997552398
573,26.6768321299
574,26.7926258052
575,26.3007648558
576,27.258664489
577,26.4926884013
578,26.4792972817
579,26.1574660812
580,26.0904753731
581,25.8452371389
582,26.0761651185
583,26.298679466
584,26.5408581533
585,26.6164050681
586,27.285144143
587,27.2411339083
588,26.4248292051
589,26.4768774118
590,26.4789186928
591,26.6327510971
592,26.8669662012
593,26.4058008007
594,26.6189539403
595,25.770105289
596,26.1053034026
597,26.867776159
598,26.1097562072
599,26.2169382232
600,26.511762469
601,26.3976503208
602,26.4064464886
603,25.9210226793
604,26.1408026936
605,25.7906979798
606,26.0904684914
607,26.4197626373
608,26.9311549791
609,27.1508320242
610,27.2228911683
611,27.0991194793
612,26.931134611
613,26.8824761366
614,26.1781445307
615,26.5769732617
616,26.0283738496
617,26.2297934107
618,26.5062879533
619,26.5030272485
620,26.6120807438
621,26.624091813
622,25.9702352489
623,26.0713482964
624,26.6370242769
625,26.4993892892
626,26.7613398224
627,26.1140877063
628,25.9798092929
629,25.2135590385
630,25.4330811982
631,25.4293128336
632,25.8196374318
633,25.9803520695
634,25.7072352715
635,25.7567187187
636,25.4884449429
637,25.3348819215
638,25.157658723
639,27.4771175184
640,26.7261941436
641,25.6029442564
642,25.5831523506
643,26.175317125
644,26.2041625701
645,26.3874161985
646,26.0191568332
647,25.8203474673
648,25.6755979337
649,26.1813508656
650,25.5643079536
651,25.5959353198
652,25.7414187981
653,25.6317366797
654,25.6030652573
655,25.4197551943
656,25.6610341425
657,25.7173391263
658,25.8410256459
659,25.6602209477
660,25.8371343197
661,26.1302539917
662,26.1508549287
663,25.8597355046
664,25.6437094077
665,25.4436354867
666,25.7520761602
667,25.4576100873
668,25.3734611209
669,26.6503201842
670,25.4523157154
671,25.6939497725
672,25.808863023
673,25.7336428447
674,25.6129634969
675,27.0930358312
676,25.7007661087
677,25.7275786454
678,25.4329011933
679,25.9294817796
680,25.8997733378
681,25.9753995583
682,25.7687303735
683,25.6962200782
684,25.6552405533
685,25.5513071152
686,25.4110927632
687,25.5500590155
688,25.9386509176
689,25.8522301451
690,25.6883795183
691,25.7554210185
692,26.0706748329
693,25.9273964673
694,25.9944225798
695,25.7307804659
696,25.8698777826
697,26.0185081616
698,25.9505395461
699,25.6631289036
700,25.6361121611
701,25.5009656424
702,25.5652075836
703,25.7523249838
704,26.2254030459
705,26.0210742077
706,25.7633853153
707,26.0955639995
708,26.3203573738
709,26.6036799402
710,27.0347148659
711,26.4262878966
712,26.6134961399
713,26.7961274211
714,27.3272673446
715,27.1550318089
716,27.6465994543
717,27.9192618153
718,27.5817942108
719,27.4017983928
720,27.4701244056
721,27.8254041473
722,27.7356581877
723,28.4839991904
724,27.0978735906
725,27.1141689281
726,27.1607497698
727,26.9904500096
728,27.3720421411
729,27.9959739282
730,27.1359656571
731,26.7608151443
732,27.0396611053
733,26.8562601816
734,27.3877408967
735,27.0311836038
736,26.7821749344
737,27.056396678
738,26.4997023986
739,27.0314475054
740,27.0214728079
741,27.0864341495
742,27.1585458728
743,27.2314151405
744,27.3281691191
745,27.4371754026
746,27.5982169606
747,27.5221261378
748,27.7939194963
749,27.5658034803
750,27.6605738758
751,27.9802763015
752,27.5119901194
753,26.4777204807
754,26.3131621748
755,26.4297414027
756,26.3273558752
757,26.5098250371
758,27.1480268039
759,26.7359400465
760,27.4189816074
761,27.7156799453
762,27.5675479409
763,27.3329780693
764,26.9441854644
765,26.812631794
766,27.3161499072
767,27.3901194254
768,27.2210646558
769,27.3606895865
770,27.196605895
771,26.6892146733
772,27.0971066415
773,26.7529591806
774,26.7425183039
775,26.6802429089
776,26.3965959026
777,26.6182208603
778,26.581436682
779,26.3618315309
780,26.2762172531
781,26.4922062554
782,26.2154006296
783,26.6713622936
784,27.028155355
785,26.992690548
786,26.8174262881
787,26.6704630839
788,26.7128158773
789,27.2236865291
790,26.7585360775
791,26.1795971031
792,25.8121486975
793,25.6641789188
794,28.5967972613
795,25.684371014
796,25.802714358
797,25.9715356626
798,26.1018652838
799,25.6845717735
800,25.8468166354
801,25.8961535065
802,25.8651552946
803,25.5812161184
804,25.8904158543
805,25.8785451588
806,26.2380825458
807,26.1241993427
808,26.1537793789
809,26.3020156197
810,26.2261313842
811,26.078519363
812,26.6386052771
813,28.0409164688
814,26.351638281
815,25.9209768007
816,27.3687733156
817,26.2635196787
818,28.7626124974
819,27.1135769732
820,25.6288439327
821,25.9331870221
822,25.8026109101
823,26.1946805886
824,26.444094175
825,26.2378476924
826,25.7476410565
827,25.5516658557
828,25.9110282166
829,25.9357874793
830,26.4714574808
831,25.6397873121
832,26.0592925302
833,26.4199661055
834,25.9630524977
835,25.9587025736
836,25.8999980886
837,25.550659723
838,27.4033698651
839,26.0754467046
840,25.7273757093
841,26.1894559017
842,26.0326009172
843,26.132507066
844,26.2638728473
845,26.6807349319
846,26.2109144929
847,26.6312536474
848,26.6269949685
849,26.5879785887
850,26.1306979182
851,26.4307689415
852,26.7370849945
853,26.1790409434
854,26.0428226026
855,26.0628728274
856,27.0858786266
857,26.4800839029
858,26.233435999
859,26.1928612642
860,25.9371605809
861,26.1241110533
862,26.4056900299
863,26.7613042123
864,26.2480409611
865,25.9279488348
866,26.5169644858
867,26.3787510517
868,25.3735387363
869,26.4651538888
870,25.50721377
871,26.0415902234
872,26.4685818111
873,26.5997086367
874,27.651372514
875,29.2992872905
876,32.2223872477
877,29.4403401504
878,27.1995211416
879,27.1593145016
